MAS: Financial Database - Exchange Rates,,,,,https://secure.mas.gov.sg/msb/ExchangeRates.aspx,,,,
,,,,,,,,,
Exchange Rates (Daily),,,,,,,,,
Jan 1988 to May 2014,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
,Feb,2,,2.1562,1.4186,18.35,55.58,,
,,9,,2.1791,1.4167,18.32,55.56,,
,,16,,2.1725,1.4129,18.27,55.42,,
,,23,,2.1735,1.4074,18.2,55.11,,
,Mar,1,,2.1633,1.4131,18.28,55.48,,
,,8,,2.1551,1.4092,18.22,55.4,,
,,15,,2.1477,1.4079,18.21,55.41,,
,,22,,2.1674,1.4107,18.25,55.84,,
,,29,,2.1493,1.408,18.21,55.5,,
,Apr,4,,2.1433,1.405,18.17,55.5,,
,,12,,2.1302,1.409,18.22,56.02,,
,,19,,2.1378,1.4081,18.21,56.39,,
,,26,,2.124,1.408,18.2,56.25,,
,May,3,,2.1111,1.4056,18.17,56.28,,
,,10,,2.1363,1.4045,18.16,56.41,,
,,17,,2.1332,1.408,18.2,56.5,,
,,24,,2.1348,1.4098,18.22,56.55,,
,,30,,2.1575,1.4097,18.22,56.38,,
,Jun,7,,2.1768,1.4087,18.2,56.41,,
,,14,,2.161,1.4082,18.18,56.44,,
,,21,,2.1672,1.4088,18.2,56.46,,
,,28,,2.1834,1.4099,18.22,56.52,,
,Jul,5,,2.2007,1.4135,18.26,56.72,,
,,12,,2.2038,1.4167,18.3,56.88,,
,,19,,2.1929,1.4186,18.33,57,,
,,26,,2.2061,1.416,18.31,56.88,,
,Aug,2,,2.1896,1.4145,18.29,56.7,,
,,8,,2.1861,1.4171,18.32,56.88,,
,,16,,2.1985,1.4185,18.34,56.94,,
,,23,,2.1874,1.4108,18.24,56.59,,
,,30,,2.1907,1.4073,18.2,56.42,,
,Sep,6,,2.2034,1.4059,18.18,56.28,,
,,13,,2.1935,1.4106,18.24,56.44,,
,,20,,2.1851,1.4084,18.21,56.33,,
,,27,,2.1983,1.408,18.21,56.11,,
,Oct,4,,2.2072,1.4097,18.23,56.33,,
,,11,,2.2065,1.4083,18.21,56.2,,
,,18,,2.2438,1.4145,18.29,56.42,,
,,25,,2.2545,1.4161,18.32,56.55,,
,Nov,1,,2.298,1.4088,18.22,55.71,,
,,8,,2.311,1.4024,18.14,55.62,,
,,15,,2.3309,1.4003,18.11,55.45,,
,,22,,2.3643,1.4006,18.11,55.57,,
,,29,,2.3544,1.4025,18.14,55.5,,
,Dec,6,,2.2951,1.3999,18.1,55.53,,
,,13,,2.3313,1.3993,18.08,55.4,,
,,20,,2.3311,1.3996,18.09,55.43,,
,,27,,2.3434,1.3995,18.09,55.35,,
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
1997,Jan,3,,2.372,1.3998,18.1,55.44,,
,,10,,2.3867,1.4056,18.17,56.6,,
,,17,,2.3597,1.4052,18.16,56.63,,
,,24,,2.2965,1.4082,18.19,56.62,,
,,31,,2.2676,1.4085,18.17,56.64,,
,Feb,6,,2.3207,1.4125,18.23,56.71,,
,,14,,2.2976,1.4182,18.3,57.07,,
,,21,,2.2931,1.4239,18.39,57.3,,
,,28,,2.3188,1.4248,18.4,57.36,,
,Mar,7,,2.3108,1.4312,18.48,57.78,,
,,14,,2.2862,1.4353,18.53,57.9,,
,,21,,2.3024,1.4462,18.66,58.4,,
,,27,,2.3627,1.4477,18.68,58.4,,
,Apr,4,,2.362,1.4373,18.55,57.95,,
,,11,,2.3309,1.4373,18.55,57.37,,
,,17,,2.342,1.4415,18.6,57.37,,
,,25,,2.3452,1.4446,18.65,57.67,,
,May,2,,2.3514,1.4466,18.67,57.64,,
,,9,,2.3378,1.4418,18.61,57.52,,
,,16,,2.349,1.4327,18.52,57.51,,
,,23,,2.3318,1.4327,18.51,57.26,,
,,30,,2.3434,1.43,18.46,56.88,,
,Jun,6,,2.3344,1.4295,18.46,56.88,,
,,13,,2.3224,1.4241,18.4,56.65,,
,,20,,2.352,1.427,18.43,56.77,,
,,27,,2.3772,1.4265,18.41,56.53,,
,Jul,4,,2.4168,1.4327,18.51,56.77,,
,,11,,2.4197,1.4331,18.5,57.38,,
,,18,,2.4416,1.4612,18.85,56.21,,
,,25,,2.4637,1.4735,19.03,55.6,,
,Aug,1,,2.4096,1.469,18.97,55.94,,
,,8,,2.3473,1.4775,19.09,55.79,,
,,15,,2.4201,1.5202,19.62,54.52,,
,,22,,2.3908,1.503,19.41,54.2,,
,,29,,2.4708,1.5285,19.73,51.59,,
,Sep,5,,2.4089,1.5203,19.63,51.23,,
,,12,,2.4171,1.514,19.55,51.15,,
,,19,,2.4416,1.519,19.62,50.04,,
,,26,,2.4594,1.5185,19.62,48.83,,
,Oct,3,,2.4795,1.5362,19.86,45.86,,
,,10,,2.486,1.5295,19.77,50.31,,
,,17,,2.5101,1.552,20.05,48.3,,
,,24,,2.5783,1.5818,20.46,46.49,,
,,31,,2.6512,1.5885,20.55,46.22,,
,Nov,7,,2.6505,1.573,20.35,47.59,,
,,14,,2.6866,1.5815,20.54,47.54,,
,,21,,2.6938,1.5935,20.61,45.37,,
,,28,,2.6669,1.5917,20.59,45.5,,
,Dec,5,,2.6932,1.6195,20.93,42.56,,
,,12,,2.7231,1.644,21.21,43.23,,
,,19,,2.7889,1.675,21.61,43.79,,
,,26,,2.7893,1.668,21.53,43.1,,
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
1998,Jan,2,,2.7842,1.692,21.83,43.1,,
,,9,,2.8545,1.7655,22.8,38.17,,
,,16,,2.8595,1.7555,22.69,40.92,,
,,23,,2.9138,1.7665,22.81,38.74,,
,,27,,2.9087,1.7545,22.65,38.48,,
,Feb,6,,2.7439,1.665,21.52,42.8,,
,,13,,2.7307,1.6685,21.55,42.08,,
,,20,,2.6806,1.638,21.15,43.16,,
,,27,,2.6611,1.619,20.91,44.11,,
,Mar,6,,2.705,1.655,21.37,40.91,,
,,13,,2.6902,1.624,20.97,42.29,,
,,20,,2.6766,1.609,20.77,43.72,,
,,27,,2.686,1.5943,20.58,44.3,,
,Apr,3,,2.7191,1.632,21.06,43.03,,
,,9,,2.6692,1.594,20.57,43.49,,
,,17,,2.717,1.607,20.74,42.4,,
,,24,,2.6442,1.5877,20.49,42.11,,
,,30,,2.6479,1.5847,20.46,42.28,,
,May,8,,2.6731,1.622,20.93,42.63,,
,,15,,2.6916,1.648,21.27,43.83,,
,,22,,2.6659,1.6365,21.12,43.18,,
,,29,,2.7274,1.6775,21.65,43.21,,
,Jun,5,,2.7606,1.6873,21.77,42.5,,
,,12,,2.8402,1.7435,22.5,43.42,,
,,19,,2.7932,1.673,21.61,42.09,,
,,26,,2.8106,1.6835,21.73,41.36,,
,Jul,3,,2.8137,1.6965,21.89,40.88,,
,,10,,2.8167,1.7263,22.28,40.59,,
,,17,,2.7617,1.6845,21.74,41.29,,
,,24,,2.8233,1.7096,22.06,41.24,,
,,31,,2.823,1.725,22.27,41.57,,
,Aug,7,,2.8472,1.743,22.49,41.65,,
,,14,,2.8396,1.748,22.56,41.77,,
,,21,,2.8598,1.755,22.65,41.84,,
,,28,,2.9327,1.7715,22.86,41.93,,
,Sep,4,,2.924,1.749,22.57,46.02,,
,,11,,2.9219,1.732,22.35,45.58,,
,,18,,2.8916,1.7185,22.18,45.22,,
,,25,,2.9044,1.714,22.12,45.1,,
,Oct,2,,2.8718,1.6867,21.77,44.39,,
,,9,,2.8179,1.6435,21.21,43.25,,
,,16,,2.7625,1.6183,20.89,42.59,,
,,23,,2.7544,1.625,20.97,42.76,,
,,30,,2.7242,1.622,20.94,42.68,,
,Nov,6,,2.7018,1.6242,20.98,42.74,,
,,13,,2.7523,1.655,21.37,43.55,,
,,20,,2.7034,1.6263,21,42.8,,
,,27,,2.7416,1.6513,21.32,43.45,,
,Dec,4,,2.748,1.647,21.26,43.34,,
,,11,,2.7477,1.6465,21.25,43.33,,
,,18,,2.7672,1.651,21.31,43.45,,
,,24,,2.781,1.659,21.42,43.66,,
,,31,,2.7666,1.6605,21.43,43.7,,
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
1999,Jan,8,1.9627,2.7666,1.6757,21.63,44.1,,
,,15,1.9648,2.7802,1.68,21.68,44.21,,
,,22,1.9437,2.7683,1.6742,21.61,44.06,,
,,29,1.9294,2.7828,1.6898,21.81,44.47,,
,Feb,5,1.9141,2.7738,1.687,21.77,44.39,,
,,12,1.8989,2.7411,1.6905,21.81,44.49,,
,,19,1.9081,2.7883,1.7063,22.02,43.75,,
,,26,1.8963,2.7605,1.7245,22.26,45.38,,
,Mar,5,1.8726,2.7869,1.7315,22.34,45.57,,
,,12,1.9152,2.839,1.7375,22.42,45.72,,
,,19,1.892,2.8057,1.722,22.22,45.32,,
,,26,1.8747,2.8099,1.729,22.31,45.5,,
,Apr,1,1.8605,2.7836,1.7265,22.28,45.43,,
,,9,1.8628,2.7837,1.732,22.35,45.58,,
,,16,1.8037,2.7211,1.695,21.88,44.6,,
,,23,1.8175,2.7606,1.708,22.04,44.95,,
,,30,1.8072,2.7401,1.7005,21.94,44.75,,
,May,7,1.8346,2.788,1.7015,21.95,44.78,,
,,14,1.8263,2.7666,1.7095,22.05,44.99,,
,,21,1.826,2.7662,1.7205,22.19,45.28,,
,,28,1.8013,2.7582,1.7275,22.28,45.46,,
,Jun,4,1.7785,2.7668,1.7253,22.24,45.4,,
,,11,1.7987,2.7475,1.7122,22.07,45.06,,
,,18,1.7617,2.7221,1.707,22.01,44.92,,
,,25,1.7749,2.7053,1.704,21.96,44.84,,
,Jul,2,1.7396,2.6753,1.6989,21.9,44.71,,
,,9,1.7368,2.6539,1.7005,21.91,44.75,,
,,16,1.7345,2.6608,1.6988,21.89,44.71,,
,,23,1.7831,2.6899,1.699,21.89,44.71,,
,,30,1.8069,2.7229,1.6876,21.74,44.41,,
,Aug,6,1.8024,2.7034,1.6751,21.58,44.08,,
,,13,1.7866,2.6994,1.672,21.54,44,,
,,20,1.786,2.7141,1.6785,21.62,44.17,,
,,27,1.7669,2.6846,1.6895,21.76,44.46,,
,Sep,3,1.802,2.7127,1.6865,21.72,44.38,,
,,10,1.7748,2.7543,1.6877,21.73,44.41,,
,,17,1.7594,2.7489,1.6945,21.82,44.59,,
,,24,1.7968,2.8119,1.7105,22.02,45.01,,
,Oct,1,1.8184,2.7984,1.6965,21.84,44.64,,
,,8,1.7982,2.7728,1.6793,21.62,44.19,,
,,15,1.8129,2.7893,1.676,21.57,44.11,,
,,22,1.7997,2.7948,1.6675,21.46,43.88,,
,,29,1.7585,2.7371,1.67,21.49,43.95,,
,Nov,5,1.7326,2.7087,1.6682,21.47,43.9,,
,,12,1.7371,2.7066,1.6703,21.49,43.95,,
,,19,1.7218,2.7022,1.6701,21.49,43.95,,
,,26,1.7026,2.6967,1.6715,21.51,43.99,,
,Dec,3,1.6887,2.6996,1.6867,21.7,44.39,,
,,10,1.7159,2.7307,1.6787,21.59,44.18,,
,,17,1.705,2.6995,1.6745,21.54,44.07,,
,,24,1.6917,2.6982,1.6697,21.49,43.94,,
,,31,1.681,2.6914,1.666,21.43,43.84,,
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
2000,Jan,7,1.7154,2.7405,1.6635,21.39,43.78,,
,,14,1.7165,2.7532,1.6725,21.5,44.01,,
,,21,1.702,2.7666,1.674,21.52,44.05,,
,,28,1.6704,2.7676,1.692,21.75,44.52,,
,Feb,4,1.6707,2.7008,1.688,21.69,44.42,,
,,11,1.6697,2.7251,1.694,21.77,44.58,,
,,18,1.6852,2.7403,1.7039,21.9,44.84,,
,,25,1.6989,2.7407,1.7129,22.01,45.08,,
,Mar,3,1.6593,2.7144,1.7203,22.1,45.27,,
,,10,1.6548,2.7069,1.7097,21.96,44.99,,
,,17,1.6585,2.6921,1.7103,21.97,45.01,,
,,24,1.6689,2.7215,1.7125,22,45.07,,
,,31,1.6488,2.7406,1.7189,22.08,45.23,,
,Apr,7,1.6376,2.705,1.7115,21.98,45.04,,
,,14,1.6316,2.7143,1.7118,21.98,45.05,,
,,20,1.5976,2.6827,1.6965,21.78,44.64,,
,,28,1.5534,2.6814,1.7049,21.89,44.87,,
,May,5,1.5345,2.651,1.7195,22.07,45.25,,
,,12,1.5602,2.6042,1.7278,22.18,45.47,,
,,19,1.5468,2.5596,1.7305,22.21,45.54,,
,,26,1.5795,2.5513,1.7325,22.23,45.59,,
,Jun,2,1.6099,2.5832,1.7283,22.18,45.48,,
,,9,1.6488,2.6053,1.7262,22.15,45.43,,
,,16,1.6444,2.6055,1.7243,22.12,45.38,,
,,23,1.6228,2.6196,1.7335,22.24,45.62,,
,,30,1.6468,2.6252,1.7294,22.18,45.51,,
,Jul,7,1.6502,2.619,1.7365,22.27,45.7,,
,,14,1.6278,2.6169,1.742,22.35,45.84,,
,,21,1.629,2.6386,1.7463,22.4,45.95,,
,,28,1.6132,2.617,1.7315,22.21,45.57,,
,Aug,4,1.5595,2.541,1.7235,22.1,45.35,,
,,11,1.5579,2.5668,1.7145,21.98,45.12,,
,,18,1.576,2.571,1.72,22.05,45.26,,
,,25,1.5479,2.545,1.7215,22.07,45.3,,
,Sep,1,1.5298,2.4926,1.7203,22.06,45.27,,
,,8,1.5094,2.4867,1.7313,22.2,45.56,,
,,15,1.5015,2.4446,1.737,22.27,45.71,,
,,22,1.5009,2.5091,1.7458,22.39,45.94,,
,,29,1.5336,2.5479,1.741,22.33,45.82,,
,Oct,6,1.5205,2.5265,1.7473,22.41,45.98,,
,,13,1.5119,2.5764,1.7525,22.48,46.12,,
,,20,1.4821,2.5354,1.75,22.44,46.05,,
,,27,1.4568,2.5155,1.7554,22.51,46.19,,
,Nov,3,1.4908,2.5038,1.733,22.23,45.61,,
,,10,1.5066,2.487,1.739,22.3,45.76,,
,,17,1.4904,2.4876,1.7478,22.41,45.99,,
,,24,1.4736,2.4616,1.7579,22.54,46.26,,
,Dec,1,1.5346,2.5002,1.7516,22.46,46.09,,
,,8,1.5423,2.5038,1.7339,22.24,45.63,,
,,15,1.5515,2.5599,1.7368,22.27,45.7,,
,,22,1.584,2.5474,1.7293,22.17,45.51,,
,,29,1.6095,2.5818,1.7315,22.2,45.57,,
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
2001,Jan,5,1.6566,2.6071,1.7355,22.25,45.67,,
,,12,1.654,2.5997,1.7342,22.23,45.64,,
,,19,1.6492,2.5646,1.7405,22.32,45.8,,
,,26,1.61,2.5463,1.7437,22.36,45.89,,
,Feb,2,1.6311,2.5678,1.739,22.3,45.76,,
,,9,1.6044,2.5227,1.7459,22.39,45.94,,
,,16,1.5816,2.5307,1.7442,22.36,45.9,,
,,23,1.5792,2.5257,1.7455,22.38,45.93,,
,Mar,2,1.6248,2.5412,1.7461,22.39,45.95,,
,,9,1.638,2.5822,1.7553,22.5,46.19,,
,,16,1.5884,2.543,1.7705,22.7,46.59,,
,,23,1.5823,2.5358,1.7828,22.86,46.92,,
,,30,1.5825,2.5714,1.8005,23.09,47.38,,
,Apr,6,1.6259,2.5887,1.8145,23.27,47.75,,
,,12,1.6067,2.5993,1.8088,23.19,47.6,,
,,20,1.6217,2.6136,1.809,23.19,47.61,,
,,27,1.6458,2.6231,1.8195,23.33,47.88,,
,May,4,1.6218,2.6137,1.8211,23.35,47.92,,
,,11,1.5992,2.5817,1.8141,23.26,47.74,,
,,18,1.5941,2.5874,1.8065,23.16,47.54,,
,,25,1.5481,2.5424,1.8045,23.14,47.49,,
,Jun,1,1.5303,2.5645,1.8083,23.18,47.59,,
,,8,1.5361,2.5209,1.8101,23.21,47.63,,
,,15,1.5637,2.5401,1.8137,23.26,47.73,,
,,22,1.5532,2.5741,1.8195,23.33,47.88,,
,,29,1.5407,2.5663,1.8207,23.34,47.91,,
,Jul,6,1.5264,2.5567,1.8255,23.41,48.04,,
,,13,1.5639,2.5775,1.8355,23.53,48.3,,
,,20,1.5913,2.6067,1.824,23.39,48,,
,,27,1.5845,2.5763,1.8036,23.12,47.46,,
,Aug,3,1.5679,2.5436,1.7782,22.8,46.79,,
,,10,1.5713,2.5119,1.7617,22.59,46.36,,
,,17,1.5956,2.5231,1.7493,22.43,46.03,,
,,24,1.6042,2.5366,1.7521,22.46,46.11,,
,,31,1.5967,2.5377,1.7393,22.3,45.77,,
,Sep,7,1.5669,2.5501,1.751,22.45,46.08,,
,,14,1.5814,2.5571,1.7388,22.29,45.76,,
,,21,1.602,2.5435,1.7389,22.29,45.76,,
,,28,1.6148,2.5983,1.7651,22.63,46.45,,
,Oct,5,1.6386,2.632,1.782,22.85,46.89,,
,,12,1.64,2.6291,1.8183,23.31,47.85,,
,,19,1.6416,2.6221,1.818,23.31,47.84,,
,,26,1.6319,2.6055,1.8257,23.41,48.04,,
,Nov,2,1.657,2.6829,1.8331,23.5,48.24,,
,,9,1.623,2.6481,1.8218,23.36,47.94,,
,,16,1.6162,2.6252,1.8308,23.47,48.18,,
,,23,1.619,2.6017,1.8407,23.6,48.44,,
,,30,1.6239,2.6093,1.8308,23.48,48.18,,
,Dec,7,1.6355,2.613,1.8306,23.47,48.17,,
,,14,1.6397,2.644,1.832,23.49,48.21,,
,,21,1.6599,2.6739,1.8426,23.63,48.49,,
,,28,1.6346,2.6836,1.85,23.72,48.68,,
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
2002,Jan,4,1.6597,2.6588,1.8467,23.68,48.6,,
,,11,1.6458,2.6585,1.8443,23.65,48.53,,
,,18,1.618,2.6369,1.8367,23.55,48.33,,
,,25,1.6117,2.6184,1.837,23.55,48.34,,
,Feb,1,1.5811,2.5959,1.838,23.57,48.37,,
,,8,1.5949,2.591,1.8319,23.49,48.21,,
,,15,1.5922,2.6079,1.8241,23.39,48,,
,,22,1.5949,2.6135,1.8325,23.5,48.22,,
,Mar,1,1.5905,2.5967,1.8312,23.48,48.19,,
,,8,1.6021,2.5965,1.8192,23.32,47.87,,
,,15,1.6105,2.5918,1.8232,23.38,47.98,,
,,22,1.6135,2.6112,1.8288,23.45,48.13,,
,,28,1.6099,2.6284,1.8425,23.62,48.49,,
,Apr,5,1.6129,2.6321,1.836,23.54,48.32,,
,,12,1.6201,2.642,1.838,23.57,48.37,,
,,19,1.6243,2.6402,1.8215,23.35,47.93,,
,,26,1.6252,2.6329,1.8101,23.21,47.63,,
,May,3,1.6345,2.6457,1.8092,23.2,47.61,,
,,10,1.6513,2.6465,1.8085,23.19,47.59,,
,,17,1.6401,2.6185,1.7955,23.03,47.25,,
,,24,1.6546,2.6152,1.7995,23.07,47.36,,
,,31,1.6736,2.6164,1.7855,22.89,46.99,,
,Jun,7,1.7013,2.6233,1.7967,23.04,47.28,,
,,14,1.6842,2.63,1.7865,22.91,47.01,,
,,21,1.7142,2.6631,1.7753,22.76,46.72,,
,,28,1.7459,2.6962,1.7645,22.62,46.43,,
,Jul,5,1.728,2.6913,1.7695,22.69,46.57,,
,,12,1.7264,2.7174,1.7512,22.45,46.08,,
,,19,1.7606,2.7423,1.7335,22.23,45.62,,
,,26,1.754,2.7697,1.7527,22.47,46.12,,
,Aug,2,1.7336,2.7447,1.7553,22.51,46.19,,
,,8,1.7236,2.7217,1.7668,22.65,46.49,,
,,16,1.7154,2.6817,1.7484,22.42,46.01,,
,,23,1.7001,2.6691,1.7574,22.53,46.25,,
,,30,1.7223,2.7066,1.7485,22.42,46.01,,
,Sep,6,1.7354,2.7393,1.7445,22.37,45.91,,
,,13,1.7303,2.7477,1.7616,22.59,46.36,,
,,20,1.7511,2.7633,1.7752,22.76,46.72,,
,,27,1.7375,2.7723,1.7781,22.8,46.79,,
,Oct,4,1.7587,2.7967,1.7832,22.86,46.93,,
,,11,1.7688,2.8066,1.7931,22.99,47.19,,
,,18,1.7379,2.7728,1.7879,22.92,47.05,,
,,25,1.7368,2.7604,1.7745,22.75,46.7,,
,Nov,1,1.7507,2.7665,1.7695,22.69,46.57,,
,,8,1.7766,2.7816,1.7617,22.59,46.36,,
,,15,1.7688,2.7839,1.7624,22.6,46.38,,
,,22,1.7758,2.8014,1.7705,22.7,46.59,,
,,29,1.7515,2.7332,1.7627,22.6,46.39,,
,Dec,5,1.7717,2.7775,1.7723,22.73,46.64,,
,,13,1.7877,2.775,1.7557,22.51,46.2,,
,,20,1.7897,2.7947,1.7434,22.36,45.88,,
,,27,1.8034,2.7834,1.7371,22.27,45.71,,
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
2003,Jan,2,1.8241,2.8024,1.7426,22.35,45.86,3.2551,4.0352
,,3,1.811,2.785,1.7453,22.38,45.93,3.2619,4.0518
,,6,1.8166,2.8008,1.7405,22.32,45.8,3.2551,4.0595
,,7,1.8176,2.7959,1.7402,22.31,45.79,3.2541,4.0626
,,8,1.8159,2.7968,1.742,22.33,45.84,3.2554,4.0629
,,9,1.8266,2.8043,1.7371,22.27,45.71,3.2436,4.0686
,,10,1.8262,2.7919,1.7385,22.29,45.75,3.242,4.0633
,,13,1.8354,2.7936,1.7372,22.27,45.72,3.2483,4.0613
,,14,1.8297,2.7798,1.7337,22.23,45.62,3.2471,4.0602
,,15,1.8304,2.7848,1.7339,22.23,45.63,3.2452,4.0649
,,16,1.8285,2.7765,1.7323,22.21,45.59,3.2378,4.0583
,,17,1.8369,2.7858,1.7306,22.19,45.54,3.2308,4.0458
,,20,1.846,2.7922,1.7341,22.23,45.63,3.2289,4.0502
,,21,1.8478,2.7857,1.7345,22.24,45.64,3.2294,4.054
,,22,1.8603,2.804,1.7333,22.22,45.61,3.2296,4.0545
,,23,1.8582,2.8055,1.7343,22.24,45.64,3.2304,4.0567
,,24,1.8638,2.8164,1.7308,22.19,45.55,3.2267,4.0548
,,27,1.8737,2.8245,1.7285,22.16,45.49,3.2241,4.055
,,28,1.8755,2.83,1.7309,22.19,45.55,3.2233,4.0541
,,29,1.8791,2.8478,1.7315,22.2,45.56,3.2214,4.0611
,,30,1.8737,2.8533,1.7316,22.2,45.57,3.2186,4.0548
,,31,1.8796,2.8748,1.7377,22.28,45.73,3.2275,4.0638
,Feb,4,1.8809,2.8667,1.7454,22.38,45.93,3.2348,4.0813
,,5,1.8923,2.8714,1.7379,22.28,45.73,3.2222,4.0715
,,6,1.8816,2.863,1.7428,22.34,45.86,3.2295,4.0762
,,7,1.8852,2.8512,1.7418,22.33,45.84,3.2199,4.0654
,,10,1.89,2.8493,1.7493,22.43,46.03,3.2433,4.0705
,,11,1.8862,2.8577,1.757,22.53,46.24,3.2576,4.0756
,,13,1.8881,2.8414,1.754,22.49,46.16,3.2524,4.0814
,,14,1.8997,2.8458,1.7541,22.49,46.16,3.2543,4.0759
,,17,1.8812,2.8179,1.7553,22.5,46.19,3.2445,4.0707
,,18,1.8839,2.808,1.753,22.48,46.13,3.2379,4.0687
,,19,1.8762,2.7905,1.7513,22.45,46.09,3.2276,4.0714
,,20,1.8823,2.7959,1.7483,22.42,46.01,3.219,4.0676
,,21,1.8873,2.7798,1.7435,22.35,45.88,3.2144,4.0712
,,24,1.87,2.7473,1.7419,22.33,45.84,3.1996,4.0636
,,25,1.8752,2.7576,1.7377,22.28,45.73,3.1958,4.0615
,,26,1.8655,2.7326,1.7352,22.25,45.66,3.1918,4.0593
,,27,1.8712,2.7493,1.7337,22.23,45.62,3.1901,4.0644
,,28,1.8691,2.7448,1.7377,22.28,45.73,3.1888,4.0742
,Mar,3,1.8734,2.7353,1.7381,22.29,45.74,3.1898,4.0676
,,4,1.8918,2.7431,1.7341,22.24,45.63,3.183,4.0683
,,5,1.9017,2.7531,1.7321,22.21,45.58,3.1648,4.0741
,,6,1.9033,2.7785,1.7352,22.25,45.66,3.164,4.0713
,,7,1.9053,2.7739,1.7347,22.24,45.65,3.1631,4.0791
,,10,1.9124,2.774,1.7348,22.24,45.65,3.1628,4.0872
,,11,1.9192,2.7787,1.7357,22.26,45.68,3.1624,4.0922
,,12,1.9208,2.7957,1.7412,22.33,45.82,3.1609,4.0921
,,13,1.9025,2.8076,1.7491,22.43,46.03,3.1735,4.0961
,,14,1.8954,2.8089,1.7535,22.48,46.14,3.1959,4.1031
,,17,1.8967,2.7857,1.7537,22.49,46.15,3.2011,4.1162
,,18,1.8764,2.7638,1.7626,22.6,46.38,3.2004,4.1158
,,19,1.8809,2.7693,1.767,22.66,46.5,3.218,4.1174
,,20,1.8718,2.7682,1.7688,22.68,46.55,3.2322,4.1159
,,21,1.8726,2.7625,1.7649,22.63,46.44,3.2321,4.114
,,24,1.8744,2.7719,1.7681,22.67,46.53,3.2453,4.1127
,,25,1.8833,2.7824,1.762,22.59,46.37,3.235,4.1172
,,26,1.8825,2.7833,1.7672,22.66,46.5,3.2689,4.1236
,,27,1.8958,2.7897,1.7698,22.69,46.57,3.325,4.1301
,,28,1.892,2.7719,1.7697,22.69,46.57,3.3096,4.1207
,,31,1.9116,2.7829,1.7656,22.64,46.46,3.2964,4.116
